source, target, weight; 
 111, 2875, -0.412900
 111, 2911, -0.712500
 111, 2912, -0.810200
 111, 2914, -0.721400
 111, 2922, -0.439700
 111, 2923, -0.710700
 111, 2924, -0.706300
 111, 2931, -0.289600
 111, 2932, 0.732500
 111, 2942, -0.514100
 111, 2943, -0.834400
 111, 2953, -0.804600
 111, 2956, -0.504300
 111, 2971, -0.593800
 111, 3002, -0.584900
 111, 3110, -0.618900
 111, 3120, -0.679900
 111, 3130, -0.680100
 111, 3161, -0.444800
 111, 3210, -0.816400
 111, 3310, -0.904900
 111, 3320, -0.849700
 111, 3410, -0.671700
 111, 3420, -0.649800
 111, 3430, -0.733200
 111, 3511, -0.708700
 111, 3520, -0.732800
 111, 3542, -0.621400
 111, 3550, -0.673500
 111, 3611, -0.726600
 111, 3612, -0.730800
 111, 3614, -0.200500
 111, 3663, -0.731800
 111, 3710, -0.734200
 111, 3720, -0.051500
 111, 4011, -0.283800
 111, 4012, -0.632400
 111, 4021, 0.433900
 111, 4030, -0.267000
 111, 4100, -0.661100
 111, 4511, 0.199100
 111, 4512, -0.621000
 111, 4521, 0.112100
 111, 4522, -0.210100
 111, 4523, -0.148000
 111, 4525, -0.098400
 111, 4531, -0.261300
 111, 4532, -0.414400
 111, 4533, -0.332500
 111, 4534, -0.801900
 111, 4541, -0.525700
 111, 4542, -0.420500
 111, 4543, -0.415300
 111, 4544, -0.506000
 111, 4545, -0.499000
 111, 4550, -0.075100
 111, 5010, -0.579700
 111, 5020, -0.337400
 111, 5030, -0.675000
 111, 5050, -0.407400
 111, 5111, 0.817800
 111, 5112, -0.737700
 111, 5113, -0.051100
 111, 5114, -0.457300
 111, 5115, -0.615400
 111, 5117, -0.159600
 111, 5118, -0.691200
 111, 5119, -0.579200
 111, 5121, 0.905800
 111, 5122, -0.039900
 111, 5123, 0.429500
 111, 5131, 0.531600
 111, 5134, -0.627300
 111, 5136, -0.670600
 111, 5138, -0.555000
 111, 5139, -0.338400
 111, 5143, -0.757700
 111, 5151, -0.142700
 111, 5152, -0.819000
 111, 5153, -0.538700
 111, 5154, -0.786600
 111, 5155, -0.292300
 111, 5156, -0.632000
 111, 5157, 0.043200
 111, 5182, -0.675100
 111, 5187, -0.733100
 111, 5188, 0.379800
 111, 5190, -0.282200
 111, 5211, -0.360100
 111, 5212, -0.682800
 111, 5221, 0.056500
 111, 5222, -0.249800
 111, 5224, -0.460800
 111, 5225, -0.498500
 111, 5227, -0.716000
 111, 5241, -0.682800
 111, 5242, -0.616200
 111, 5243, -0.479900
 111, 5244, -0.788200
 111, 5245, -0.868100
 111, 5246, -0.294200
 111, 5247, -0.535700
 111, 5248, -0.810100
 111, 5249, -0.087100
 111, 5250, -0.710300
 111, 5261, -0.452700
 111, 5262, 0.075800
 111, 5263, -0.426500
 111, 5274, -0.684800
 111, 5510, -0.497300
 111, 5522, -0.252900
 111, 5523, -0.634500
 111, 5530, -0.404400
 111, 5540, -0.334800
 111, 5551, -0.143100
 111, 5552, -0.635400
 111, 6021, -0.502800
 111, 6022, -0.428100
 111, 6023, -0.649200
 111, 6024, 0.214700
 111, 6120, -0.362700
 111, 6312, 0.037100
 111, 6322, -0.689000
 111, 6323, -0.567700
 111, 6330, -0.663000
 111, 6340, 0.051700
 111, 6412, -0.802100
 111, 6430, -0.852200
 111, 6512, -0.563200
 111, 6603, -0.882100
 111, 6720, -0.763300
 111, 7011, -0.330000
 111, 7012, -0.704300
 111, 7020, -0.048500
 111, 7031, -0.615500
 111, 7032, -0.542300
 111, 7121, -0.706600
 111, 7131, 0.181500
 111, 7132, 0.037700
 111, 7140, -0.557200
 111, 7210, -0.736400
 111, 7310, 0.276500
 111, 7411, -0.831000
 111, 7412, -0.021500
 111, 7413, -0.702900
 111, 7414, -0.631200
 111, 7415, -0.457200
 111, 7420, -0.613100
 111, 7430, -0.544600
 111, 7440, -0.875300
 111, 7460, -0.389200
 111, 7470, -0.161600
 111, 7481, -0.679500
 111, 7482, -0.243000
 111, 7485, -0.750400
 111, 7486, -0.560600
 111, 7487, -0.124200
 111, 7511, -0.137800
 111, 7512, -0.816500
 111, 7513, 0.291100
 111, 7522, -0.367000
 111, 7523, -0.714500
 111, 7525, -0.666300
 111, 7530, -0.471900
 111, 8010, -0.569700
 111, 8021, -0.429000
 111, 8022, -0.512400
 111, 8030, -0.510400
 111, 8042, -0.324300
 111, 8511, -0.872900
 111, 8512, -0.763700
 111, 8513, -0.469200
 111, 8514, -0.474200
 111, 8531, -0.512500
 111, 8532, -0.290100
 111, 9001, -0.138800
 111, 9002, 0.281800
 111, 9003, -0.069700
 111, 9111, 0.024500
 111, 9112, 0.009400
 111, 9131, -0.081000
 111, 9133, -0.228600
 111, 9251, -0.648800
 111, 9261, -0.428100
 111, 9262, 0.329600
 111, 9271, -0.594000
 111, 9272, -0.353400
 111, 9301, -0.497400
 111, 9303, -0.372500
 111, 9304, -0.776800
 111, 9305, -0.224000
 112, 111, 0.706300
 112, 113, 0.849700
 112, 121, 0.646200
 112, 122, 0.312100
 112, 123, 0.322600
 112, 124, 0.276500
 112, 130, 0.810200
 112, 141, 0.926300
 112, 142, 0.565100
 112, 201, 0.685100
 112, 202, 0.668500
 112, 502, -0.256300
 112, 1010, -0.705600
 112, 1020, -0.747900
 112, 1030, 0.466900
 112, 1110, -0.679700
 112, 1120, -0.690600
 112, 1411, -0.770000
 112, 1412, -0.691300
 112, 1421, -0.118100
 112, 1422, -0.647700
 112, 1430, -0.409700
 112, 1511, 0.105900
 112, 1512, -0.005800
 112, 1513, 0.105500
 112, 1520, 0.162600
 112, 1531, 0.020300
 112, 1532, -0.214200
 112, 1533, 0.439400
 112, 1551, 0.121400
 112, 1552, -0.418600
 112, 1561, -0.360300
 112, 1562, -0.194200
 112, 1571, -0.685700
 112, 1572, -0.714100
 112, 1581, 0.008400
 112, 1582, 0.093900
 112, 1583, -0.690600
 112, 1584, -0.085300
 112, 1585, -0.352900
 112, 1587, 0.016200
 112, 1588, -0.727100
 112, 1589, -0.161500
 112, 1591, 0.257300
 112, 1593, -0.468500
 112, 1596, -0.459900
 112, 1598, -0.815300
 112, 1723, -0.631400
 112, 1725, -0.420900
 112, 1730, -0.385400
 112, 1740, -0.042900
 112, 1752, -0.649300
 112, 1754, -0.233600
 112, 1760, -0.745800
 112, 1821, -0.669800
 112, 1822, -0.872600
 112, 1823, -0.711000
 112, 1824, -0.722200
 112, 1910, -0.660000
 112, 1920, -0.702200
 112, 1930, -0.325900
 112, 2010, 0.026300
 112, 2020, -0.820100
 112, 2030, -0.185400
 112, 2040, -0.240600
 112, 2051, -0.541100
 112, 2052, -0.254700
 112, 2111, -0.799400
 112, 2112, -0.453000
 112, 2121, -0.251100
 112, 2122, -0.321500
 112, 2125, -0.156000
 112, 2211, -0.916700
 112, 2212, -0.892000
 112, 2213, -0.823900
 112, 2222, -0.396500
 112, 2223, -0.385100
 112, 2224, -0.845000
 112, 2231, -0.636600
 112, 2232, -0.638700
 112, 2233, -0.687100
 112, 2320, -0.437500
 112, 2412, -0.693000
 112, 2413, -0.737300
 112, 2414, -0.623200
 112, 2415, -0.278400
 112, 2416, -0.661800
 112, 2420, -0.332200
 112, 2430, -0.706900
 112, 2441, -0.699400
 112, 2442, -0.576000
 112, 2451, -0.832100
 112, 2452, -0.497300
 112, 2462, -0.449700
 112, 2466, -0.522900
 112, 2470, -0.641200
